,business_id,latitude,longitude,stars,review_count,categories,nearby,avg_stars
0,_-3aZXuecjOSjramI1IBkA,36.124074799999995,-115.1536669,4.0,4,"American (New), Breakfast & Brunch, Restaurants, American (Traditional)",4,1.0
1,_-DzOH5j-PbRrMf_Nm6w-Q,36.1220157,-115.1696529,5.0,59,"Desserts, Candy Stores, Food, Specialty Food, Chocolatiers & Shops",146,0.03424657534246575
2,_-o4WsGS2yhFneiuMTNdSA,36.095203000000005,-115.0451626,5.0,40,"Food, Restaurants, Southern, Food Trucks, Street Vendors, Barbeque",3,1.6666666666666667
3,_-QrdVYJbebaC2qschZ6iQ,36.1585364,-115.2020084,1.5,26,"Pizza, Fast Food, Restaurants",19,0.07894736842105263
4,_-VLl6JjZ7av3MwzjpHilQ,36.128561,-115.17112979999999,4.0,5,"Street Vendors, Restaurants, Food Stands, Food",93,0.043010752688172046
5,_05kkfNQcAsj8eh-9wzI4w,36.052776200000004,-115.24243100000001,2.0,17,"Burgers, American (Traditional), Restaurants",37,0.05405405405405406
6,_0x7W6fizaPP76xNBxBLAQ,36.0771648,-115.2986213,4.0,295,"Lebanese, Restaurants, Middle Eastern, Greek, Mediterranean",23,0.17391304347826086
7,_0ZIFTvfcA3UETO_S_JTNA,36.143972399999996,-115.2002402,2.0,65,"Fast Food, Food, Restaurants, Burgers, Coffee & Tea",18,0.1111111111111111
8,_1hAnIZIVg5Ijpd5ex5klA,36.15292,-115.174324,5.0,7,"Farmers Market, Food",1,5.0
9,_28WWtPWNYlxzl-GY9Gvog,36.125363953699996,-115.19647966040002,1.5,29,"Szechuan, Restaurants, Chinese",90,0.016666666666666666
10,_2fjiOHfu-S7fS2n4wfySw,36.056117976399996,-115.2812256198,4.0,66,"Restaurants, Fast Food, Sandwiches, Delis",44,0.09090909090909091
11,_2Wbpm821bdNsh-gyqufrg,36.1952921,-115.22508729999998,2.0,26,"Fast Food, Restaurants, Mexican",14,0.14285714285714285
12,_3FxLxdg1unUQc3QqIgJuA,36.1559383512,-115.3329598904,3.5,440,"Steakhouses, Japanese, Asian Fusion, Lounges, Chinese, Restaurants, Nightlife, Bars",31,0.11290322580645161
13,_4tCeVrLRmI18BscMiHr7Q,36.130814,-115.19626299999999,4.5,94,"Restaurants, Ethiopian",8,0.5625
14,_4tMcp2SGyG4bJzB_t7n8A,36.2410432,-115.07836440000001,4.5,6,"Food, Juice Bars & Smoothies, Desserts, Ice Cream & Frozen Yogurt",8,0.5625
15,_6UaHEnDDbUla3Pa3VVu3Q,36.0531819627,-115.24144551639999,4.5,116,"Food, Ice Cream & Frozen Yogurt, Custom Cakes, Desserts, Juice Bars & Smoothies, Filipino, Restaurants",37,0.12162162162162163
16,_7EsArRtaywrPasvA8ryfg,36.119309799999996,-115.17177020000001,4.0,32,"Desserts, Chocolatiers & Shops, Specialty Food, Food, Restaurants, Ice Cream & Frozen Yogurt",93,0.043010752688172046
17,_7kVnn5_19ckuFPS9PCrpQ,36.0958487754,-115.2968895435,3.5,85,"Vegetarian, Restaurants, Burgers",53,0.0660377358490566
18,_7M4uJJGP794V_zupZu5hg,36.1183123634,-115.1542016245,4.5,12,"Food, Health & Medical, Medical Centers, Adult Education, Specialty Schools, Educational Services, Beer, Wine & Spirits, Vocational & Technical School, Special Education, Education",25,0.18
19,_7qqB7K-Cd2vhb3NEUcdtw,36.1144544,-115.09173020000001,4.5,22,"Middle Eastern, Greek, Mediterranean, Restaurants",22,0.20454545454545456
20,_7wj87KZspahqDHxbXreMQ,36.04181989999999,-115.1194244,3.0,42,"Beauty & Spas, Cosmetics & Beauty Supply, Food, Convenience Stores, Drugstores, Photography Stores & Services, Shopping",22,0.13636363636363635
21,_8mBVtt6yhkS0YtT1FGBNg,36.19185,-115.3053811,3.5,105,"Food, Juice Bars & Smoothies, Vegan, Restaurants, Acai Bowls, Gluten-Free",33,0.10606060606060606
22,_8VkSb_Mryb6bHQxSWB7Pg,36.126100799999996,-115.211285,4.0,388,"Fondue, Hot Pot, Sushi Bars, Restaurants, Japanese",65,0.06153846153846154
23,_8yxceldCT7oe0wJC-yDPA,36.0533813,-115.27955279999999,3.5,174,"Thai, Food, Restaurants",27,0.12962962962962962
24,_94oYdTEp7dTOMtUqZexXw,36.1756598331,-115.2238898724,2.5,6,"Grocery, Food",9,0.2777777777777778
25,_Ad2ZKhUl-krJFpaZ1FI8g,36.125634999999996,-115.20248649999999,4.0,124,"Restaurants, Hot Pot, Korean, Asian Fusion, Buffets",29,0.13793103448275862
26,_aIQsyaRn7CJh8gWSbuJgA,36.0979112889,-115.2977933361,4.5,23,"Restaurants, Japanese",49,0.09183673469387756
27,_Aj02-sb1QDNIVXK64qTVw,36.1481287,-115.24265390000001,4.0,9,"Food, Restaurants, Breakfast & Brunch, Coffee & Tea",13,0.3076923076923077
28,_AWD_scQBxowJ8gzorqcgA,36.0875159,-115.24370400000001,5.0,7,"Shopping, Books, Mags, Music & Video, Arcades, Arts & Entertainment, Internet Cafes, Video Game Stores, Food, Videos & Video Game Rental, LAN Centers",21,0.23809523809523808
29,_axD8DiO1to9Am8xJjtKHw,36.099828,-115.24108899999999,3.5,75,"Food, Coffee & Tea, Donuts",17,0.20588235294117646
30,_bOlJfNELoVIiYGonYnPWw,36.1580682974,-115.0462754442,3.0,37,"Sushi Bars, Japanese, Restaurants",16,0.1875
31,_BS2zLAkZbelPCt5wLHQqQ,36.1327061,-115.16362600000001,3.0,32,"Cosmetics & Beauty Supply, Convenience Stores, Photography Stores & Services, Drugstores, Shopping, Food, Beauty & Spas",28,0.10714285714285714
32,_cBlppMDZYXS-Bjj4l9qtw,36.1882094,-115.11658159999999,3.0,10,"Latin American, Restaurants, Salvadoran, Mexican",8,0.375
33,_CgBou-sE-UW2j4otiKtlw,36.1462228,-115.207528,3.5,11,"Restaurants, Mexican",32,0.109375
34,_CpqFQNn-5cGtlGCuWI9uw,36.280709,-115.22238899999999,5.0,5,"Food, Farmers Market",1,5.0
35,_cs_J4j8XXyBgihJs83qUg,36.0447704,-115.24402549999999,2.0,142,"Chicken Shop, Restaurants, Fast Food, Chicken Wings, Burgers, Breakfast & Brunch, Chinese",40,0.05
36,_e5KDltp_0XNkylTYR1V2w,36.1249835,-115.20643059999999,4.0,124,"Restaurants, Soup, Vietnamese",56,0.07142857142857142
37,_eDVVS8wwXcdllaW6nfLyg,36.0569792,-115.28010619999999,4.5,142,"Korean, Food, Tapas/Small Plates, Street Vendors, Japanese, Restaurants",51,0.08823529411764706
38,_ek_DoAnoHtpwaBwaIFr4Q,36.011944,-115.13803100000001,3.0,13,"Coffee & Tea, Food",33,0.09090909090909091
39,_ewxwEwJM-IYfIYnKpQOZw,36.1008099,-115.10175819999999,4.0,67,"Hot Dogs, Restaurants, Shaved Ice, Food, Ice Cream & Frozen Yogurt",37,0.10810810810810811
40,_eYGcch95eygN_b_rigUkg,36.1008737,-115.0755602,3.0,46,"Mexican, Restaurants, Food, Grocery",14,0.21428571428571427
41,_fKi0myDrskrl8xmnAKJyA,36.120953899999996,-115.17211509999998,3.0,16,"Food, Ice Cream & Frozen Yogurt, Desserts",131,0.022900763358778626
42,_flZPT7fynq6WFzWvFOV4g,36.1756008398,-115.22226516190001,4.5,14,"Mexican, Comfort Food, Restaurants",9,0.5
43,_Fo8uNT17BEBUkKvUXCZkQ,36.1154418446,-115.28856580799999,4.5,58,"American (New), Mexican, Restaurants, Food",11,0.4090909090909091
44,_gMR_YdsMwwKy63-UwjdnA,36.044477535,-115.24400275200001,4.0,72,"Chinese, Restaurants, Hawaiian, Barbeque",40,0.1
45,_H_0DVFM0YgeXfnEC33vuA,36.15732020000001,-115.26287520000001,4.0,6,"Food, Bubble Tea, Restaurants, Creperies",8,0.5
46,_hML_SleB40KkUrMHOZ_-Q,36.093584908000004,-115.1758973462,4.0,453,"Nightlife, American (Traditional), Bars, Cocktail Bars, Restaurants, American (New)",62,0.06451612903225806
47,_HrCJz_uXDumBhdxCrug7Q,36.0999899,-115.227134,3.5,17,"Delis, Pizza, Restaurants",18,0.19444444444444445
48,_HU30V8E6vuENIDsb0r82A,36.169300228400004,-115.2061913162,4.0,4,"Restaurants, Mexican",18,0.2222222222222222
49,_HwyxfsmFIOlW3xhAOcFVA,36.153227173400005,-115.1515800975,4.0,6,"Korean, Restaurants",29,0.13793103448275862
50,_I_N5HrVTXwJLuuuFoUjhA,36.1433,-115.25353999999999,3.5,13,"Thai, Restaurants, Asian Fusion, Sushi Bars",15,0.23333333333333334
51,_iIJZVd2GWGJoOxX_7COyg,36.0985196,-115.2966767,4.5,4,"Burgers, Pizza, Food Delivery Services, Food, Restaurants",41,0.10975609756097561
52,_iImIysZnnagrYt3CE7fVQ,36.254562,-115.2428805,4.5,28,"Coffee & Tea, Bakeries, Food, Desserts",8,0.5625
53,_Iufza5tCBBT2WnA22jV3g,36.06123529999999,-115.2896852,5.0,5,"Food Delivery Services, Specialty Food, Food, Health & Medical, Doctors, Health Markets",9,0.5555555555555556
54,_iUq8i7GmSXDOsuM0UiQCg,36.119271000000005,-115.17070700000001,2.5,69,"Food, Coffee & Tea",105,0.023809523809523808
55,_ixV2SWDy7w8jzEAHp85qA,36.1235594764,-115.1686692238,3.5,357,"Restaurants, American (Traditional), Bars, American (New), Nightlife",144,0.024305555555555556
56,_iySw-CXvA2wx0sn8pRiAA,36.160629,-115.35035400000001,2.5,10,"Coffee & Tea, Food",14,0.17857142857142858
57,_j2EtQtgLuXGRBfbM5YwZA,36.122689,-115.17016299999999,3.5,1090,"Restaurants, Asian Fusion, Chinese, Dim Sum, Noodles",155,0.02258064516129032
58,_j750dvyAFCkd0OzPOV09Q,36.1207056,-115.17178670000001,3.0,38,"Restaurants, American (Traditional), Diners",138,0.021739130434782608
59,_JbuDLG7SFEtiCVDT1M0CQ,36.1608501,-115.3334837,4.0,228,"Poke, Restaurants, Food, Juice Bars & Smoothies, Acai Bowls, Live/Raw Food",19,0.21052631578947367
60,_Jt9CLSL2sqF-yCNel9D-g,36.1149906,-115.2219381,4.5,70,"Mexican, Restaurants, Nightlife, Bars, Sports Bars",10,0.45
61,_JusTiXCx4qqhO_HfLsUtQ,36.052027100000004,-115.1715467,5.0,4,"Food, Gluten-Free, Specialty Food, Thai, Restaurants, Food Delivery Services, Health Markets",25,0.2
62,_K2_Yf_ltfhuJ2JGCOs85g,36.113727600000004,-115.1523206,2.5,114,"Buffets, Restaurants",20,0.125
63,_kB1BSKQ5lRzhvcmCY7E0Q,36.2030945,-115.22448529999998,3.5,6,"Steakhouses, American (New), Food Stands, Food, Food Delivery Services, Restaurants",8,0.4375
64,_kb6GT4qawjwq47OsQ52xw,36.117064,-115.171177,2.5,520,"Food, Buffets, Restaurants",91,0.027472527472527472
65,_KCvY2g9mMgcBSrVjCS0FA,36.01979,-115.15036,4.0,59,"Pizza, Sandwiches, Restaurants, Burgers",7,0.5714285714285714
66,_Kd0kQ8RF70hJ1ykLqCRyQ,36.0154353334,-115.1194969015,3.0,388,"Mexican, Restaurants",58,0.05172413793103448
67,_kdpjoGrIzA64E6aXHA66w,35.995072,-115.206057,4.0,435,"Restaurants, Spanish, Tapas Bars",21,0.19047619047619047
68,_LQM7tTE4pCt3jpbMCVwkw,35.9992536839,-115.2048308442,3.5,37,"Beer, Wine & Spirits, Food",26,0.1346153846153846
69,_miMpqv-9ay174DfRopwpg,36.0114211,-115.1752012,4.0,9,"Beer, Wine & Spirits, Convenience Stores, Food",18,0.2222222222222222
70,_ng1XrWNbJZgAsqZlyb7cg,36.144039899999996,-115.1627872,2.0,7,"Caterers, Event Planning & Services, Restaurants, Mediterranean",17,0.11764705882352941
71,_O5zubqsiY9kEaNAmR-24w,36.1886104,-115.28748059999998,5.0,32,"Food, Desserts, Farmers Market, Bakeries, Cupcakes",4,1.25
72,_OajkfyD6Rz4KYjo6tTyRA,36.110032000000004,-115.173883,4.0,4,"Specialty Food, Food",114,0.03508771929824561
73,_OTl6V2oUfMMmoDWD2nXVg,36.2031099,-115.2602202,4.0,85,"Gluten-Free, Restaurants, Food, Cupcakes, Bakeries",4,1.0
74,_p5oMYHQ4QIOqId1rehUzg,36.1566045,-115.0621835,2.5,13,"Restaurants, Mexican",5,0.5
75,_paJE9yQfSvo25BKBQrKZA,36.0138907,-115.1536669,3.0,81,"Mexican, Restaurants, Fast Food",40,0.075
76,_PQ1cKw_ZtKrXNxCMgIeYA,36.071411,-115.278723,3.5,104,"Restaurants, Nightlife, Arts & Entertainment, Mexican, Jazz & Blues",4,0.875
77,_QvGAqMmrUIlxpby2Ul5Dg,36.2191460556,-115.25175670280001,3.5,285,"Seafood, Desserts, Restaurants, Food, Mexican",14,0.25
78,_R-rjgz4Kwi4f3u0clFeKg,36.1362575,-115.15125259999998,2.5,210,"Cafes, Breakfast & Brunch, Beer, Wine & Spirits, Food, Sandwiches, Restaurants, American (Traditional)",23,0.10869565217391304
79,_R76PYZqTRvw840SP6s5GA,36.034512299999996,-115.12011100000001,4.0,48,"Restaurants, Cafes, Food, Coffee & Tea, American (New), Breakfast & Brunch, Juice Bars & Smoothies",5,0.8
80,_rakMPaMCiBIxKeLfNmXTg,36.0676364,-115.1722346,4.0,4,"Organic Stores, Juice Bars & Smoothies, Food",20,0.2
81,_RiwESa2w64ls6y_5tE4CA,36.114124100000005,-115.30871090000002,4.0,235,"Sushi Bars, Asian Fusion, Food, Poke, Restaurants",44,0.09090909090909091
82,_RxbfEugCvI93ByH2Bg_oA,36.1430817,-115.2536257,3.5,46,"Thai, Chinese, Vietnamese, Restaurants",15,0.23333333333333334
83,_sh6mIBWZis66mAjkjN8Qg,36.190940600000005,-115.3072017,3.5,266,"Sandwiches, Food, Juice Bars & Smoothies, Restaurants, Breakfast & Brunch, American (Traditional), American (New)",14,0.25
84,_SJcQA5s1uVlb-E8CBZ7GQ,36.2620193,-115.20766259999999,4.0,8,"Food, Grocery",2,2.0
